tbl,id,country,state_province,county,latitude,longitude
vfoi,61592862,Brazil,Mato Grosso,NA,9999,9999
vfoi,61593294,Brazil,Pernambuco,Igarassu,-748.3666667,-36.43333333
vfoi,61595657,Brazil,Mato Grosso,NA,9999,9999
vfoi,61597552,Brazil,Mato Grosso,NA,9999,9999
vfoi,61600487,Canada,British Columbia,NA,54.5,-1221
vfoi,61607388,Brazil,Mato Grosso,NA,9999,9999
vfoi,61607647,Brazil,Mato Grosso,NA,9999,9999
vfoi,61608348,Brazil,Mato Grosso,NA,9999,9999
vfoi,61614762,Brazil,Mato Grosso,NA,9999,9999
vfoi,61615410,Brazil,Minas Gerais,Conceicao Do Mato Dentro,9999,9999
vfoi,61616478,Brazil,Mato Grosso,NA,9999,9999
vfoi,61617736,Brazil,Mato Grosso,NA,9999,9999
vfoi,61619809,Brazil,Mato Grosso,NA,9999,9999
vfoi,61619839,Brazil,Mato Grosso,NA,9999,9999
vfoi,61622788,Brazil,Mato Grosso,NA,9999,9999
vfoi,61631763,Brazil,Mato Grosso,NA,9999,9999
vfoi,61632956,Brazil,Mato Grosso,NA,9999,9999
vfoi,61638952,Brazil,Mato Grosso,NA,9999,9999
vfoi,61640001,Brazil,Mato Grosso,NA,9999,9999
vfoi,61641905,Brazil,Mato Grosso,NA,9999,9999
vfoi,61643006,Brazil,Mato Grosso,NA,9999,9999
vfoi,61645978,Brazil,Mato Grosso,NA,9999,9999
vfoi,61647819,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,61648331,Brazil,Goias,NA,9999,9999
vfoi,61649989,Brazil,Mato Grosso,NA,9999,9999
vfoi,61650484,Brazil,Espirito Santo,Castelo,9999,9999
vfoi,61651674,Brazil,Mato Grosso,NA,9999,9999
vfoi,61653631,Brazil,Mato Grosso,NA,9999,9999
vfoi,61657144,Brazil,Mato Grosso,NA,9999,9999
vfoi,61659798,Brazil,Mato Grosso,NA,9999,9999
vfoi,61660049,Brazil,Mato Grosso,NA,9999,9999
vfoi,61660253,Brazil,Goias,NA,9999,9999
vfoi,61661317,Brazil,Mato Grosso,NA,9999,9999
vfoi,61661955,Brazil,Mato Grosso,NA,9999,9999
vfoi,61664399,Brazil,Espirito Santo,Nova Venecia,9999,9999
vfoi,61667722,Brazil,Mato Grosso,NA,9999,9999
vfoi,61670691,Brazil,Mato Grosso,NA,9999,9999
vfoi,61671533,Brazil,Mato Grosso,NA,9999,9999
vfoi,61671961,Brazil,Mato Grosso,NA,9999,9999
vfoi,61672856,Brazil,Minas Gerais,Catas Altas,9999,9999
vfoi,61675044,Brazil,Mato Grosso,NA,9999,9999
vfoi,61676130,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,61679347,Brazil,Mato Grosso,NA,9999,9999
vfoi,61680120,Brazil,Minas Gerais,Aiuruoca,9999,9999
vfoi,61680132,Brazil,Mato Grosso,NA,9999,9999
vfoi,61684954,Brazil,Espirito Santo,Santa Teresa,9999,9999
vfoi,61685271,Brazil,Mato Grosso,NA,9999,9999
vfoi,61686059,Brazil,Mato Grosso,NA,9999,9999
vfoi,61687366,Brazil,Mato Grosso,NA,9999,9999
vfoi,61693863,Brazil,Mato Grosso,NA,9999,9999
vfoi,61695817,Brazil,Mato Grosso,NA,9999,9999
vfoi,61710566,Brazil,Mato Grosso,NA,9999,9999
vfoi,61711550,Brazil,Mato Grosso,NA,9999,9999
vfoi,61711701,Brazil,Mato Grosso,NA,9999,9999
vfoi,61712843,Brazil,Mato Grosso,NA,9999,9999
vfoi,61713543,Brazil,Minas Gerais,Caete,9999,9999
vfoi,61715785,Brazil,Sao Paulo,Pedregulho,9999,9999
